f1,f2,f3,f4,f5,f6,f7,Class
3,0,1,0,0,0,0.06,-1
4,1,0,0,0,0.057032258064516166,0.05032258064516132,0
10,1,0,0,1,0.059500000000000004,0.10500000000000004,0
2,1,1,0,0,0.0,0.0,-1
10,1,0,0,0,0.10993548387096776,0.06387096774193551,0
17,0,3,0,0,0.0662564102564103,0.282871794871795,0
4,1,1,1,0,0.01942857142857143,0.017142857142857144,0
36,1,2,3,0,0.1400198019801978,0.07700990099009881,-1
4,1,0,1,0,0.06375000000000003,0.05625000000000002,1
1,0,0,0,0,0.0,0.0,0
9,1,1,0,0,0.07785714285714286,0.10514285714285714,1
12,2,0,1,0,0.1623809523809524,0.20628571428571418,0
42,4,2,0,0,0.12736065573770466,0.08839344262295092,-1
27,4,3,1,0,0.1909999999999999,0.1181333333333331,0
8,1,1,2,0,0.15073684210526317,0.1911578947368421,-1
41,3,5,2,0,0.16770175438596502,0.07052631578947348,0
33,1,3,2,0,0.20131914893617017,0.08799999999999983,-1
35,1,4,0,0,0.09714285714285696,0.07864761904761888,0
37,3,3,0,0,0.18522033898305093,0.1676949152542375,-1
15,2,0,0,0,0.07560000000000004,0.1182222222222221,-1
10,1,0,0,1,0.08271428571428574,0.2294285714285714,1
2,0,0,0,0,0.051000000000000004,45,1
5,1,0,0,0,0.06314285714285717,0.05571428571428573,1
1,0,0,0,0,0.0,0.0,1
1,0,0,0,0,0.0,0.0,1
23,1,2,0,0,0.1019411764705883,0.13394117647058815,0
12,1,0,0,0,0.08600000000000003,0.19789473684210526,-1
8,1,0,1,0,0.048000000000000015,0.14305882352941177,1
7,1,2,0,0,0.025500000000000002,75,-1
9,0,1,0,0,0.27518749999999986,0.12025000000000002,0
17,89,2,1,0,0.06952173913043481,0.14034782608695645,-1
1,0,0,0,0,0.0,0.0,0
8,2,0,0,0,0.1885789473684209,0.14294736842105263,1
8,1,1,0,0,0.10527272727272728,0.13927272727272727,1
9,3,0,0,0,0.22175,0.060000000000000026,0
1,1,0,0,0,0.0,0.0,1
3,1,0,0,0,0.054400000000000004,48,1
1,0,0,0,0,0.0,0.0,1
13,1,2,1,0,0.11511111111111098,0.19324444444444455,0
40,1,0,2,0,0.24891764705882347,0.06917647058823517,-1
5,1,0,1,0,0.051000000000000024,0.04500000000000002,-1
13,1,2,0,0,0.07825000000000004,0.20780000000000015,0
19,0,2,0,0,0.06260317460317465,0.09574603174603155,-1
5,1,1,0,0,0.051000000000000004,45,0
8,1,0,1,0,0.06460000000000003,0.3946000000000002,-1
21,4,1,0,0,0.06666666666666672,0.07635294117647064,-1
9,1,3,0,0,0.10729999999999999,0.1473,1
10,1,2,0,0,0.10365217391304352,0.13860869565217393,1
10,2,1,2,0,0.12733333333333335,0.1304,0
49,8,6,3,0,0.09618604651162767,0.06972093023255804,-1
3,1,0,0,0,0,0.06,-1
4,0,1,0,0,0.0,0.0,0
2,1,0,0,0,0.04533333333333334,0.04,1
4,1,0,0,0,0.05666666666666667,0.049999999999999996,0
16,1,4,0,0,0.07814814814814816,0.07229629629629633,0
17,1,0,0,0,0.0846666666666665,0.10046153846153824,-1
34,2,2,1,0,0.08757894736842094,0.19523684210526343,-1
1,1,0,0,0,0.0,0.0,1
9,0,3,1,0,0.12874074074074077,0.07674074074074078,0
42,0,4,2,0,0.22784810126582292,0.10539240506329096,-1
6,1,1,0,0,0.07490000000000002,0.04800000000000002,0
3,34,1,0,0,0.030222222222222223,0.026666666666666665,-1
20,2,4,1,0,0.13380246913580218,0.14335802469135833,0
10,1,1,0,1,0.06490909090909094,0.15272727272727274,1
25,116,2,0,0,0.07000000000000003,0.12789999999999987,-1
5,1,0,1,0,0.01942857142857143,0.017142857142857144,0
14,3,0,0,0,0.06959090909090913,0.24400000000000024,-1
3,1,1,1,0,0,0.03,-1
31,2,4,1,0,0.16338461538461527,0.0969230769230768,0
6,1,1,0,0,73,0.038571428571428576,1
54,8,6,2,0,0.24764285714285691,0.09420000000000024,-1
4,1,0,0,0,34,0.03,0
12,0,0,1,0,0.08948571428571434,0.2022857142857141,0
22,1,1,0,0,0.1300759493670884,0.13817721518987341,-1
12,2,0,1,0,0.06557142857142861,0.31400000000000017,-1
15,0,0,0,0,0.060444444444444446,0.24000000000000002,0
5,1,2,1,0,0,0.06,1
4,1,0,1,0,0.05828571428571429,0.05142857142857143,1
3,1,1,1,0,34,0.03,0
36,1,1,1,0,0.17992000000000002,0.06989333333333327,1
34,205,4,5,0,0.13804597701149413,0.1157241379310346,0
14,0,0,1,0,0.07452380952380956,0.05714285714285718,0
42,9,4,3,0,0.10359036144578304,0.1373012048192775,1
4,1,0,0,0,0.0,0.0,0
15,0,1,1,0,0.15654545454545424,0.07500000000000004,-1
8,2,0,0,0,0.08271428571428573,0.10942857142857143,1
13,3,1,1,0,0.13088000000000002,0.07440000000000004,1
9,0,0,1,0,0.09083333333333334,0.12266666666666666,1
9,1,0,2,0,0.05180952380952383,0.14723809523809525,0
15,3,1,0,0,0.07778571428571432,0.13185714285714287,1
2,0,0,0,0,0.0,0.0,1
37,3,4,1,0,0.14003703703703696,0.07337037037037014,0
8,0,1,0,0,0.05100000000000001,0.19299999999999998,1
7,1,0,0,0,0.08672727272727272,0.04363636363636363,1
15,1,3,2,0,0.1310769230769231,0.06000000000000002,1
4,33,0,0,0,0.06233333333333335,0.055000000000000014,1
4,1,0,0,0,0.030222222222222223,0.026666666666666665,-1
20,1,0,1,0,0.09708571428571432,0.10502857142857144,1
17,1,1,2,0,0.06800000000000005,0.2920357142857145,-1
10,3,1,1,0,0.08384615384615388,0.11323076923076925,1
1,1,0,0,0,0.0,0.0,0
29,4,1,2,0,0.11069999999999994,0.11189999999999975,1
14,1,1,1,0,0.07800000000000006,0.09229268292682931,-1
19,2,2,1,0,0.08992452830188674,0.07513207547169815,-1
44,5,4,3,0,0.16619354838709666,0.0744731182795697,0
3,1,0,0,0,0.054400000000000004,48,1
13,1,1,0,0,0.08042424242424247,0.08642424242424246,0
3,0,1,0,0,0.04533333333333334,0.04,0
18,0,2,0,0,0.1625106382978721,0.11574468085106371,-1
4,1,0,0,0,34,0.03,0
31,5,0,0,0,0.09077777777777782,0.16044444444444447,0
6,0,1,1,0,0.18419999999999997,0.054000000000000006,1
7,0,2,0,0,0.11500000000000003,0.31875,0
6,6,0,0,0,0.10527272727272728,0.06000000000000001,1
1,0,1,0,0,0.0,0.0,0
2,1,1,0,0,0.0,0.0,-1
23,1,2,0,0,0.09098245614035085,0.09312280701754376,0
1,1,0,0,0,0.0,0.0,0
5,1,1,1,0,0.0651666666666667,0.05750000000000003,-1
7,2,2,0,0,0.05254545454545457,0.21818181818181823,0
7,1,2,0,0,0.20475,45,0
23,124,2,0,0,0.2015652173913044,0.12773913043478255,-1
9,2,1,0,0,0.05010526315789476,0.09010526315789474,1
31,2,2,2,0,0.10222222222222227,0.08422222222222225,-1
16,1,1,1,0,0.08042424242424248,0.11478787878787883,0
7,1,1,0,0,0.07300000000000002,0.15857142857142856,0
1,1,1,0,0,0.0,0.0,1
13,1,3,1,0,0.22095238095238076,0.0786666666666667,0
21,0,0,0,0,0.3225652173913045,0.16439130434782587,1
5,0,0,1,0,0.06460000000000003,0.05700000000000003,-1
7,1,2,0,0,256,45,1
5,1,0,0,0,0.05828571428571429,0.05142857142857143,1
9,0,0,0,0,0.08850000000000004,0.19560000000000002,-1
10,0,3,1,0,0.2957777777777776,0.10844444444444447,0
6,1,1,0,0,0.08907692307692308,0.05076923076923078,1
5,1,0,0,0,68,0.06,0
12,0,1,1,0,0.1466,0.05700000000000003,0
18,97,2,2,0,0.08514285714285719,0.11121428571428572,1
3,1,0,0,0,0.054400000000000004,48,0
37,2,3,2,0,0.323972222222222,0.08544444444444427,0
4,2,0,0,0,0.048571428571428585,0.042857142857142864,1
6,1,1,0,0,0.14447058823529413,0.0423529411764706,-1
1,1,0,0,0,0.0,0.0,1
14,1,1,0,0,0.15000000000000005,0.08100000000000004,1
1,1,0,0,0,0.0,0.0,1
5,1,0,0,0,0.051000000000000024,0.04500000000000002,0
21,6,1,2,0,0.06920689655172417,0.12837931034482736,-1
4,1,0,0,0,34,0.03,1
6,1,2,0,0,0.1022,0.054000000000000006,1
8,1,0,0,0,0.06400000000000004,0.26741176470588246,-1
6,0,1,0,0,0.10527272727272728,0.06000000000000001,1
1,0,0,0,0,0.0,0.0,1
17,4,3,2,0,0.07821276595744685,0.15306382978723387,0
2,1,0,0,0,34,0.03,1
3,1,0,0,0,0.0,0.0,0
17,0,3,0,0,0.08440000000000004,0.09448000000000004,1
8,1,0,1,0,0.09933333333333337,0.28083333333333343,0
10,1,2,2,0,0.15155555555555555,0.10355555555555555,0
1,1,0,0,0,0.0,0.0,1
38,216,4,0,0,0.18814084507042236,0.07895774647887313,-1
19,1,3,1,0,0.07621333333333323,0.10370666666666647,-1
14,2,0,1,0,0.04184615384615385,0.07169230769230772,-1
9,1,1,1,0,0.08225000000000003,0.18933333333333324,0
5,1,0,0,0,0.06152380952380956,0.05428571428571431,-1
2,1,0,0,0,0.051000000000000004,45,0
2,0,0,0,0,34,0.03,1
4,2,0,1,0,0.04533333333333334,0.04,-1
2,1,0,0,0,0.0,0.0,0
5,0,2,0,0,0.0408,36,0
16,3,0,1,0,0.06497777777777783,0.08533333333333337,0
10,0,0,1,0,0.12462857142857138,0.09702857142857146,1
1,0,0,0,0,0.0,0.0,1
34,5,4,1,0,0.10865346534653451,0.1164158415841586,1
18,1,1,0,0,0.05828571428571432,0.06342857142857146,1
34,3,0,3,0,0.23087037037037011,0.06111111111111098,-1
1,1,0,0,0,0.0,0.0,1
10,1,1,0,0,0.10900000000000003,0.16660000000000003,0
17,1,2,1,0,0.07423376623376614,0.1663376623376627,1
