korayspr,2009,Sad,kargolama süreci berbat
strawberrykozmetik,727,Neutral,Ürünün kargoya geç verilmesi
powertecturkiye,704,Neutral,Urun guzel fakat arad kargo ile 4 gunde geldi :(
xlinetattoo,46,Sad,Gerek yok
prozzak3,314,Neutral,Ürün yere çakıldı. elektrik motorlarından 3 ü kitlendi.
plus_med,232,Neutral,biraz kalitesi düşük bi ürün fakat parasına göre ideal . kargo evime getirmediği için düşük not veriyorum
korayspr,1786,Neutral,Ürünü çok geç kargoladılar
korayspr,1275,Sad,"Tam 4 gün beklememe rağmen ürünü kargolamadılar,ayrıca tenezzül edip cevap bile vermediler,teşekkür ediyorum korayspor!!!!gitti gidiyor 'a hiç sözüm yok,onlarda olmasa bizi koruyan olmayacak sanırım"
yuzyilavm,56,Happy,Hediye aldım henüz denenmedi
firsatsever,61,Neutral,.
modamarka-shop,256,Happy,"Parasına göre güzel bir ayakkabı,teşekkürler.."
CarWaxCarCare,3,Neutral,Hediyeler için teşekkürler. Fakat ürün 5 gün sonra geldi ??
baysalotomotiv,104,Sad,Adetli alınca gönderim yapılmıyor ama açıklamada bu yazmıyor ve ilginçtir ki bu ürün günün fırsatında.35502 profilli bir satıcı yapıyor bunu.Yapılan gitti gidiyor kurallarınca etik değil. Satıcı yüzünden dünkü indirimim de yandı.Profile bakmak yanlışmış!!
soleshopping,262,Neutral,Istediğim ürünün aynisi gelmesi deisik modeli geldi Parasal yönden sorunyok fakat hediye Almistim Gönderilen ürün daha ucuz bisey ben bilerek fazla para ödedim onu almak için.
on2pharma,190,Sad,Kargo şirketi çok kötü çok sorun yaşadım.
prozzak3,38,Neutral,"Satıcının gönderdiği ürünün son kullanma tarihi geçmiş gibi, lazerin pil takılacak yerleri küflenmiş, olması gereken 3 pil, olan 2. Pillerden birisi patlamış diğeri akmış.Plastik ve kutu uzun zaman depoda uygunsuz durmuş sanki bu sebepten biraz kötüleşmiş"
esfashop,95,Sad,"Yanlış ürün gönderildi ve ürün elime ulşır ulaşmaz sistem otomatik olarak alışı onaylamış, iade ve değişim yapamadım asla sürmeyeceğim siyah/ mor arası bir dudak kalemi ile indirim adı altında başbaşa kaldım"
